"","Sample ID","pH","Temperature (°C)","Turbidity (NTU)","Dissolved Oxygen (mg/L)","Conductivity (µS/cm)","Tipo_de_Zona","Uso_del_Suelo","Temporada","Estado_Ecológico","Riesgo_Eutrofización","Presión_Antrópica"
"54",54,7.41,21.1743206181563,4.2,7.1,364,"Zona urbana","Urbano","Invierno","Bueno","Alto","Alta"
"55",55,7.08,19.0455660995096,4.1,8.6,337,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"56",56,7.25,20.6738082395867,3.5,9.7,349,"Pla agrícola","Agrícola","Invierno","Muy bueno","Bajo","Alta"
"57",57,7.17,20.6,4.7,7.6,328,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"58",58,7.01,25.9680838548578,3.6,6.9,333,"Serra de Tramuntana","Natural","Verano","Moderado","Medio","Baja"
"59",59,6.9,20.5561063303612,4.2,6,357,"Pla agrícola","Agrícola","Invierno","Deficiente","Alto","Alta"
"60",60,7.29,21.9,4.8,7.9,320,"Costa","Mixto","Otoño","Bueno","Medio","Media"
"61",61,7.19,23.1,3.9,9,342,"Costa","Mixto","Primavera","Muy bueno","Bajo","Media"
"62",62,7.01,18.5662959094159,4.3,7.4,326,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"63",63,7.15,22.6,4.5,8.2,355,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"64",64,7.12,24.6728231119923,3.7,8.7,334,"Pla agrícola","Agrícola","Verano","Muy bueno","Bajo","Alta"
"65",65,6.94,21.2548238377087,4,6.6,348,"Serra de Tramuntana","Natural","Invierno","Moderado","Medio","Baja"
"66",66,7.36,23.4205624401569,4.5,9.4,362,"Costa","Mixto","Verano","Bueno","Alto","Media"
"67",67,7.02,22.3469394625165,3.8,8.2,323,"Zona urbana","Urbano","Verano","Muy bueno","Bajo","Alta"
"68",68,7.26,23.5,4.6,7.5,350,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"69",69,7.08,24.0505227121524,3.3,9.1,330,"Zona húmeda","Mixto","Verano","Muy bueno","Bajo","Media"
"70",70,7.14,22.9,4.4,7.1,341,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"71",71,7.31,22.4555829673074,3.6,8.8,329,"Costa","Mixto","Verano","Muy bueno","Bajo","Media"
"72",72,7.03,25.8266752124764,4.8,6.7,345,"Costa","Mixto","Verano","Moderado","Medio","Media"
"73",73,7.18,22.5,3.5,9.3,358,"Zona húmeda","Mixto","Primavera","Muy bueno","Alto","Media"
"74",74,7.24,18.9911256610416,4.6,7.9,332,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"75",75,7.14,25.131590606831,4.2,8.5,347,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"76",76,7.06,22.1,3.9,8,321,"Zona urbana","Urbano","Primavera","Bueno","Bajo","Alta"
"77",77,7.29,25.3437914002687,3.4,9.5,351,"Pla agrícola","Agrícola","Verano","Muy bueno","Alto","Alta"
"78",78,7.12,20.5449613093399,4.7,7.4,330,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"79",79,7.01,25.5315736670978,3.2,8.2,339,"Pla agrícola","Agrícola","Verano","Muy bueno","Bajo","Alta"
"80",80,7.35,19.5771825498901,4.5,9.2,359,"Pla agrícola","Agrícola","Invierno","Bueno","Alto","Alta"
"81",81,7.04,23.1,4,6.4,324,"Pla agrícola","Agrícola","Primavera","Moderado","Medio","Alta"
"82",82,7.16,23.6936781310476,3.8,7.7,346,"Serra de Tramuntana","Natural","Verano","Bueno","Bajo","Baja"
"83",83,7.22,24.7555717464536,4.3,8.9,329,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"84",84,7.13,21.9167588309385,4.1,8.4,337,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"85",85,7.25,23,3.9,9.6,354,"Costa","Mixto","Otoño","Muy bueno","Alto","Media"
"86",86,7.09,22.2,4.4,7,333,"Pla agrícola","Agrícola","Primavera","Moderado","Medio","Alta"
"87",87,7.19,21.1,3.3,9,348,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"88",88,7.08,20.0599504586309,4.6,7.8,331,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"89",89,7.37,20.3338339208625,3.7,9.1,362,"Costa","Mixto","Invierno","Muy bueno","Alto","Media"
"90",90,7.12,20.0310620392673,4.5,8.6,340,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"91",91,7.27,23.4,4.2,7.2,327,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"92",92,7.04,21.5,4.8,6.8,342,"Serra de Tramuntana","Natural","Otoño","Moderado","Medio","Baja"
"93",93,7.15,23.1,4.4,8.1,355,"Serra de Tramuntana","Natural","Primavera","Bueno","Alto","Baja"
"94",94,7.21,22.5,3.6,8.7,338,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"95",95,6.98,20.516014980711,4,8.9,328,"Costa","Mixto","Invierno","Bueno","Bajo","Media"
"96",96,7.34,25.684877737239,4.6,8.3,365,"Costa","Mixto","Verano","Bueno","Alto","Media"
"97",97,7.02,21,3.9,7.5,332,"Zona húmeda","Mixto","Primavera","Bueno","Bajo","Media"
"98",98,7.26,24.631605325453,3.2,9.2,358,"Zona urbana","Urbano","Verano","Muy bueno","Alto","Alta"
"99",99,7.09,23,4.3,7.3,327,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"100",100,7.13,22.7350394575857,4.7,7.8,350,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"101",101,7.16,22.2,3.3,8.9,331,"Costa","Mixto","Primavera","Muy bueno","Bajo","Media"
"102",102,7.21,23.1068275744095,4.2,7.4,347,"Costa","Mixto","Verano","Bueno","Medio","Media"
"103",103,7.32,25.1494293042459,4.1,9.5,366,"Serra de Tramuntana","Natural","Verano","Bueno","Alto","Baja"
"104",104,7.05,20.9,3.7,8.1,339,"Costa","Mixto","Otoño","Muy bueno","Bajo","Media"
"105",105,7.13,22.5,4.3,7.9,326,"Zona húmeda","Mixto","Otoño","Bueno","Medio","Media"
"106",106,7.25,24.3369277688675,3.5,9.3,350,"Zona urbana","Urbano","Verano","Muy bueno","Bajo","Alta"
"107",107,7.08,23.1,4.5,6.5,319,"Zona urbana","Urbano","Otoño","Moderado","Medio","Alta"
"108",108,7.19,23.4072181782685,4.7,7.8,343,"Zona húmeda","Mixto","Verano","Bueno","Medio","Media"
"109",109,7.01,20.8,3.6,8.4,330,"Zona húmeda","Mixto","Primavera","Muy bueno","Bajo","Media"
"110",110,7.33,20.3759482908994,4.8,9,360,"Zona urbana","Urbano","Invierno","Bueno","Alto","Alta"
"111",111,7.07,23.2,3.5,7.7,327,"Serra de Tramuntana","Natural","Primavera","Bueno","Bajo","Baja"
"112",112,7.17,21.6,4.5,8.5,345,"Costa","Mixto","Primavera","Bueno","Medio","Media"
"113",113,7.23,21.6774631008506,3.6,9.1,352,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"114",114,7.14,20.5,4.4,7.6,334,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"115",115,7.26,23.4,3.3,9.4,357,"Pla agrícola","Agrícola","Otoño","Muy bueno","Alto","Alta"
"116",116,7.09,19.6194774256088,4.1,7,329,"Serra de Tramuntana","Natural","Invierno","Moderado","Medio","Baja"
"117",117,7.2,21.3,4.4,8.2,346,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"118",118,7.05,20.5270291462541,4.7,7.2,335,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"119",119,7.38,19.5003069154918,3.9,9.6,364,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"120",120,7.11,25.2817751983181,4.2,8.8,341,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"121",121,7.28,23.5616421441548,3.8,9.2,353,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"122",122,7.03,25.6241832945496,4.3,6.9,322,"Serra de Tramuntana","Natural","Verano","Moderado","Medio","Baja"
"123",123,7.15,22.7398844387382,3.4,8,344,"Costa","Mixto","Verano","Bueno","Bajo","Media"
"124",124,7.21,22.4,4.6,8.6,326,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"125",125,7.12,20.4735695174895,3.1,9.4,356,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"126",126,7,22.3,4.5,6.3,328,"Serra de Tramuntana","Natural","Otoño","Moderado","Medio","Baja"
"127",127,7.34,21.1,3.7,9.1,361,"Zona húmeda","Mixto","Primavera","Muy bueno","Alto","Media"
"128",128,7.02,24.9478661539964,4.1,7.5,338,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"129",129,7.24,21.8,4.4,8.3,347,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"130",130,7.1,23.4,4.8,7.7,331,"Zona urbana","Urbano","Otoño","Bueno","Medio","Alta"
"131",131,7.16,20.4,3.8,8.7,329,"Zona urbana","Urbano","Primavera","Muy bueno","Bajo","Alta"
"132",132,7.29,19.8074456534348,4.2,9.3,357,"Costa","Mixto","Invierno","Bueno","Alto","Media"
"133",133,7.01,20.1029332749546,4.3,7.2,326,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"134",134,7.18,23.1,3.7,9,348,"Zona urbana","Urbano","Primavera","Muy bueno","Bajo","Alta"
"135",135,7.13,21.3,4.5,8.1,335,"Costa","Mixto","Otoño","Bueno","Medio","Media"
"136",136,7.24,22.5,3.9,9.5,353,"Costa","Mixto","Otoño","Muy bueno","Alto","Media"
"137",137,7.05,22.7432968855836,4.6,7.6,329,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"138",138,7.2,26.0222003372386,4.1,8.8,342,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"139",139,7.1,25.5247770644724,3.8,8.3,336,"Zona urbana","Urbano","Verano","Muy bueno","Bajo","Alta"
"140",140,7.33,21.2,4.4,9.7,365,"Pla agrícola","Agrícola","Primavera","Bueno","Alto","Alta"
"141",141,7.07,25.4074455392547,3.4,7.9,324,"Costa","Mixto","Verano","Bueno","Bajo","Media"
"142",142,7.21,21.7,4.5,8.7,349,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"143",143,7.23,22.1,3.6,9.4,356,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Alto","Baja"
"144",144,7.16,20.6,4.2,7.8,331,"Zona húmeda","Mixto","Otoño","Bueno","Medio","Media"
"145",145,7.28,20.3571437454782,3.4,9.1,358,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Alto","Baja"
"146",146,7.09,21.9,4.8,7.3,332,"Pla agrícola","Agrícola","Otoño","Bueno","Medio","Alta"
"147",147,7.22,20.5,4.6,8.4,344,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"148",148,7.04,22.8,3.5,8.2,336,"Zona urbana","Urbano","Otoño","Muy bueno","Bajo","Alta"
"149",149,7.35,19.2356346832588,3.9,9.8,367,"Pla agrícola","Agrícola","Invierno","Muy bueno","Alto","Alta"
"150",150,7.08,24.6141272176057,4.3,7.5,327,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
"151",151,7.26,22.6520366375335,3.8,9.3,354,"Zona húmeda","Mixto","Verano","Muy bueno","Alto","Media"
"152",152,7.03,23.2,4.1,6.8,323,"Zona urbana","Urbano","Primavera","Moderado","Medio","Alta"
"153",153,7.15,18.3207409217954,4.7,7.7,345,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"154",154,7.19,21.4773459862918,3.1,9.6,351,"Zona húmeda","Mixto","Invierno","Muy bueno","Alto","Media"
"155",155,7.11,24.638124483265,4.4,8,339,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"156",156,7.01,18.6854622048326,4.8,6.9,328,"Pla agrícola","Agrícola","Invierno","Moderado","Medio","Alta"
"157",157,7.31,23.5159315349534,3.6,9.2,359,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"158",158,7.02,22.2,4.5,7.4,337,"Zona húmeda","Mixto","Otoño","Bueno","Medio","Media"
"159",159,7.25,23.2650787017308,4.2,8.9,346,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"160",160,7.12,23.5,4.6,7.9,333,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"161",161,7.17,21.4,3.9,8.5,331,"Pla agrícola","Agrícola","Otoño","Muy bueno","Bajo","Alta"
"162",162,7.29,22.0488414919935,4.7,9.6,363,"Serra de Tramuntana","Natural","Verano","Bueno","Alto","Baja"
"163",163,7.01,24.5605801532045,4.5,7.8,328,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"164",164,7.18,23,4.1,8.9,347,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"165",165,7.14,20.5,3.6,8,333,"Serra de Tramuntana","Natural","Primavera","Bueno","Bajo","Baja"
"166",166,7.25,18.9312908786349,4.4,9.4,352,"Serra de Tramuntana","Natural","Invierno","Bueno","Alto","Baja"
"167",167,7.05,22.6,3.9,7.3,325,"Zona urbana","Urbano","Otoño","Bueno","Bajo","Alta"
"168",168,7.2,19.1156763223,4.6,8.6,345,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"169",169,7.1,20.989620239567,3.7,8.1,335,"Serra de Tramuntana","Natural","Invierno","Muy bueno","Bajo","Baja"
"170",170,7.33,25.2734991955571,4.5,9.9,370,"Zona húmeda","Mixto","Verano","Bueno","Alto","Media"
"171",171,7.07,20.6,3.5,7.7,329,"Pla agrícola","Agrícola","Primavera","Bueno","Bajo","Alta"
"172",172,7.21,22.1,4.2,8.8,350,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"173",173,7.23,24.672649425175,4.6,9.7,359,"Zona urbana","Urbano","Verano","Bueno","Alto","Alta"
"174",174,7.16,21.8,4,8.3,339,"Zona húmeda","Mixto","Primavera","Bueno","Bajo","Media"
"175",175,7.28,23.5415597330779,4.3,9.2,360,"Serra de Tramuntana","Natural","Verano","Bueno","Alto","Baja"
"176",176,7.09,22.2,3.7,7.9,331,"Zona urbana","Urbano","Primavera","Bueno","Bajo","Alta"
"177",177,7.22,21.2652161935344,4.4,8.5,355,"Costa","Mixto","Invierno","Bueno","Alto","Media"
"178",178,7.04,20.8,4.1,7.5,332,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"179",179,7.35,22.5,3.8,9.8,370,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Alto","Baja"
"180",180,7.08,24.2837459224276,4.6,7.4,330,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"181",181,7.26,25.9232568750158,3.9,9.5,357,"Serra de Tramuntana","Natural","Verano","Muy bueno","Alto","Baja"
"182",182,7.03,18.9964984318241,4.4,7.1,327,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"183",183,7.15,22.1,3.8,8.1,342,"Zona urbana","Urbano","Otoño","Muy bueno","Bajo","Alta"
"184",184,7.19,20.3398908873089,4.3,9,351,"Zona húmeda","Mixto","Invierno","Bueno","Alto","Media"
"185",185,7.11,19.7394736802205,4.5,7.9,334,"Costa","Mixto","Invierno","Bueno","Medio","Media"
"186",186,7.01,23.0563642196357,3.6,7.1,327,"Serra de Tramuntana","Natural","Verano","Bueno","Bajo","Baja"
"187",187,7.31,20.0664302008227,4.7,9.4,364,"Pla agrícola","Agrícola","Invierno","Bueno","Alto","Alta"
"188",188,7.02,23.1,4.1,6.8,322,"Costa","Mixto","Primavera","Moderado","Medio","Media"
"189",189,7.25,20.7,4.6,8.7,346,"Zona urbana","Urbano","Primavera","Bueno","Medio","Alta"
"190",190,7.12,22.4,3.5,8.2,338,"Zona urbana","Urbano","Otoño","Muy bueno","Bajo","Alta"
"191",191,7.09,20.4795830395073,4.2,8.2,336,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"192",192,7.16,23.8441054667346,3.9,8.4,340,"Zona urbana","Urbano","Verano","Muy bueno","Bajo","Alta"
"193",193,7.2,24.0394329366274,4.1,8.6,347,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"194",194,7.08,23.5,3.8,7.8,330,"Costa","Mixto","Otoño","Bueno","Bajo","Media"
"195",195,7.32,20.5,4.2,9.8,369,"Serra de Tramuntana","Natural","Otoño","Bueno","Alto","Baja"
"196",196,7.14,21.2,4.3,8.1,340,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"197",197,7.05,22.8,3.6,7.4,328,"Zona húmeda","Mixto","Otoño","Bueno","Bajo","Media"
"198",198,7.25,23.2,4.4,9.3,357,"Serra de Tramuntana","Natural","Primavera","Bueno","Alto","Baja"
"199",199,7.19,19.3610958800651,4.6,8.7,344,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"200",200,7.1,23.956696225144,3.5,7.9,335,"Pla agrícola","Agrícola","Verano","Bueno","Bajo","Alta"
"201",201,7.16,21.8,4.2,8.4,342,"Zona húmeda","Mixto","Primavera","Bueno","Medio","Media"
"202",202,7.29,25.5334409446456,3.8,9.3,357,"Zona húmeda","Mixto","Verano","Muy bueno","Alto","Media"
"203",203,7.01,20.1483027536422,4.3,7.9,328,"Pla agrícola","Agrícola","Invierno","Bueno","Medio","Alta"
"204",204,7.18,22.2,3.9,8.5,347,"Costa","Mixto","Otoño","Muy bueno","Bajo","Media"
"205",205,7.14,23.4,4.7,8.8,353,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"206",206,7.25,20.6,4.5,9.2,349,"Zona húmeda","Mixto","Primavera","Bueno","Medio","Media"
"207",207,7.05,23.6612776457332,3.7,7.5,330,"Serra de Tramuntana","Natural","Verano","Bueno","Bajo","Baja"
"208",208,7.2,21.9,4.6,8.1,341,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"209",209,7.1,23,4.1,9,356,"Costa","Mixto","Otoño","Bueno","Alto","Media"
"210",210,7.33,20.9,4.4,9.7,366,"Zona urbana","Urbano","Primavera","Bueno","Alto","Alta"
"211",211,7.07,23.8841135314666,3.8,7.7,331,"Pla agrícola","Agrícola","Verano","Bueno","Bajo","Alta"
"212",212,7.21,25.6454563356936,4.3,8.9,358,"Zona húmeda","Mixto","Verano","Bueno","Alto","Media"
"213",213,7.23,22.1243593345396,4.2,8.6,345,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"214",214,7.16,22.6,3.6,9.1,335,"Zona urbana","Urbano","Otoño","Muy bueno","Bajo","Alta"
"215",215,7.28,20.0653012118302,4.5,8.3,348,"Serra de Tramuntana","Natural","Invierno","Bueno","Medio","Baja"
"216",216,7.09,22.9,3.9,9.4,362,"Costa","Mixto","Otoño","Muy bueno","Alto","Media"
"217",217,7.22,20.5,4.6,8.2,344,"Pla agrícola","Agrícola","Primavera","Bueno","Medio","Alta"
"218",218,7.04,21.4046722138301,3.7,7.8,330,"Costa","Mixto","Invierno","Bueno","Bajo","Media"
"219",219,7.35,21.6,4.4,9.5,369,"Serra de Tramuntana","Natural","Otoño","Bueno","Alto","Baja"
"220",220,7.08,23.9110730390064,3.8,8,333,"Zona húmeda","Mixto","Verano","Bueno","Bajo","Media"
"221",221,7.26,23.2,4.3,9.6,359,"Pla agrícola","Agrícola","Otoño","Bueno","Alto","Alta"
"222",222,7.03,19.8901355335489,4.2,7.6,324,"Zona urbana","Urbano","Invierno","Bueno","Medio","Alta"
"223",223,7.15,22.7,3.9,8.9,347,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"224",224,7.19,18.5692557302304,4.5,7.8,336,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"225",225,7.11,26.4846700723283,3.6,9.2,355,"Zona húmeda","Mixto","Verano","Muy bueno","Alto","Media"
"226",226,7.01,20.7,4.7,7.2,331,"Serra de Tramuntana","Natural","Primavera","Bueno","Medio","Baja"
"227",227,7.31,23.7596777780913,4.4,8.7,348,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"228",228,7.02,23,3.8,9.3,361,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Alto","Baja"
"229",229,7.25,20.5572301817127,4.6,7.5,335,"Zona húmeda","Mixto","Invierno","Bueno","Medio","Media"
"230",230,7.12,23.6687206264585,4.1,8.8,343,"Zona urbana","Urbano","Verano","Bueno","Medio","Alta"
"231",231,7.16,20.8,3.9,8.3,339,"Serra de Tramuntana","Natural","Otoño","Muy bueno","Bajo","Baja"
"232",232,7.29,20.1452260662802,4.5,9.4,364,"Pla agrícola","Agrícola","Invierno","Bueno","Alto","Alta"
"233",233,7.01,23.3440390677191,4.2,7.7,327,"Pla agrícola","Agrícola","Verano","Bueno","Medio","Alta"
"234",234,7.18,23.2,3.6,9.1,351,"Zona urbana","Urbano","Otoño","Muy bueno","Alto","Alta"
"235",235,7.14,20.9,4.4,7.9,336,"Serra de Tramuntana","Natural","Otoño","Bueno","Medio","Baja"
"236",236,7.25,22.6,3.8,8.4,344,"Serra de Tramuntana","Natural","Primavera","Muy bueno","Bajo","Baja"
"237",237,7.05,23.9848145673983,4.7,8.2,333,"Serra de Tramuntana","Natural","Verano","Bueno","Medio","Baja"
